projectid,project_name,project_description,entity_name,entity_current_nt_allocation,latitude,longitude,bay_segment,project_type,project_status,initiation_year,estimated_completion_year,discontinued_year,completion_year,project_costs,nps_load_reduction,ps_load_reduction,total_load_reduction
843,"Mosaic Riverview, Modifications to Outfall Automation and Monitoring","Installation of a complex, automated system at the 
facility's main stormwater outfall (005) including 
redundant pH meters interlocked to shut down 
discharge in the event of excursions or elevated 
nutrient loads.",Mosaic,Not Listed,27.863575,-82.385047,Hillsborough Bay,Hybrid,Completed,0.0,0.0,0.0,2003.0,,20.0,,20.0
844,"Mosaic Riverview, Enhanced Housekeeping and Street Sweeping","Implementation of a regular street sweeping 
program at the facility and housekeeping rounds by 
plant personnel. The goal of these programs is to 
reduce in-plant spillage and recover as much 
fertilizer spillage as possible prior to affecting 
surf",Mosaic,Not Listed,27.863575,-82.385047,Hillsborough Bay,Hybrid,Completed,0.0,0.0,0.0,2004.0,,400.0,,400.0
845,"Mosaic Riverview, Improved drainage in Phosphoric Acid Production Areas","Implemented changes to stormwater routing within 
the facility to minimize/eliminate runoff from 
Phosphoric Acid production areas resulting in lower 
nutrient loading to the stormwater system and 
surface water discharge.",Mosaic,Not Listed,27.863575,-82.385047,Hillsborough Bay,Hybrid,Completed,2005.0,0.0,0.0,2005.0,,400.0,,400.0
846,"Mosaic Mulberry, Transfer of Mulberry Phosphates process water",Implemented the transfer process water and treated water from the Mulberry Facility to the Bartow Facility to discharge into the Peace River Basin rather than the Alafia River.,Mosaic,Not Listed,27.89402,-81.973124,Hillsborough Bay,Hybrid,Completed,0.0,0.0,2005.0,2005.0,,,,0.0
847,"Mosaic Mulberry, Transfer of Mulberry Phosphates process water","Implemented the transfer process water from the 
Mulberry Facility to the Bartow Facility to 
discharge into the Peace River Basin rather than 
the Alafia River.",Mosaic,Not Listed,27.89402,-81.973124,Hillsborough Bay,Hybrid,Completed,0.0,0.0,0.0,2005.0,,0.0,,0.0
848,"Bartow Phosphate Complex, Enhanced Process Water Evaporation, Nutrient Load Prevention Project-2001","Development and implementation of large scale 
treated and untreated process water 
evaporation systems to reduce surface water 
discharge loadings through closure.",Mosaic,Not Listed,27.866425,-81.928348,Hillsborough Bay,Hybrid,Completed,0.0,0.0,0.0,2001.0,,12280.0,,12280.0
849,"Bartow Phosphate Complex, Enhanced Process Water Evaporation, Nutrient Load Prevention Project","Same as project ID# 848, just different time period.  TN reduction for 2001-2005 is 6,600 lbs/yr.; 2006 is 16,600",Mosaic,Not Listed,27.866425,-81.928348,Hillsborough Bay,Hybrid,Completed,0.0,2006.0,0.0,2006.0,,16600.0,,16600.0
850,New Stormwater Retrofit 2004,"Construction of Stormwater Retention System to contain first flush, settle solids, and attenuate nutrient discharges in contact runoff.",Kinder-Morgan/Pakhoed Dry Bulk Terminals,Not Listed,27.900782,-82.417799,Hillsborough Bay,Hybrid,Completed,0.0,0.0,0.0,2005.0,,3400.0,,3400.0
851,"Plant City Phosphate Complex, Process Water Balance Improvements, Prevention Project","Three projects to reduce the volume of process water generated within the phosphogypsum stack system to avoid or eliminate future potential discharge of treated water, which contains elevated nitrogen and phosphorous.",Mosaic,Not Listed,28.160614,-82.153796,Hillsborough Bay,Hybrid,Completed,0.0,0.0,0.0,1999.0,,6000.0,,6000.0
852,"Plant City Phosphate Complex, Process Water Balance Improvements, Prevention Project","Three projects to reduce the volume of process water generated within the phosphogypsum stack system to avoid or eliminate future potential discharge of treated water, which contains elevated nitrogen and phosphorous.",Mosaic,Not Listed,28.160614,-82.153796,Hillsborough Bay,Hybrid,Completed,0.0,0.0,0.0,2004.0,,6000.0,,6000.0
853,"Plant City Phosphate Complex, Process Water Balance Improvements, Prevention Project","Three projects to reduce the volume of process water generated within the phosphogypsum stack system to avoid or eliminate future potential discharge of treated water, which contains elevated nitrogen and phosphorous.",Mosaic,Not Listed,28.160614,-82.153796,Hillsborough Bay,Hybrid,Planned,0.0,2005.0,0.0,0.0,,6000.0,,6000.0
854,Bartow Operations Phosphogypsum Stack System Closure,"Closure of 900 acre phosphogypsum stack 
system. Results in the elimination of trated 
process water discharges containing elevated 
N and P by 2010, siginificant reductions 
beginnings 2007 to 2008. Also represents 
permanent closure of former opera",Mosaic,Not Listed,27.866425,-81.928348,Hillsborough Bay,Hybrid,Planned,2007.0,2014.0,0.0,0.0,,4000.0,,4000.0
855,"Mulberry RO Process Water Treatment, Prevention Project","Implementation of reverse osmosis treatment of 
process wastewater from the Mulberry plant to 
minimize overall nutrient loading.",Mosaic,Not Listed,27.89402,-81.973124,Hillsborough Bay,Hybrid,Completed,0.0,2006.0,0.0,2006.0,,0.0,,0.0
856,Mulberry/Bartow Regional Process Water Storage Pond and R/O Treatment,"Construct a regional lined process water storage 
impoundment and RO treatment system for the 
avoidance of treated process water discharges, 
but providing for high quality effluent if discharges 
are required. ",Mosaic,Not Listed,27.89402,-81.973124,Hillsborough Bay,Hybrid,Completed,0.0,2010.0,0.0,2010.0,,0.0,,0.0
857,"Mulberry, Closure of Mulberry phosphogypsym stack",Details to be provided in early November 2005.,Mosaic,Not Listed,27.89402,-81.973124,Hillsborough Bay,Hybrid,Planned,0.0,2020.0,0.0,0.0,,0.0,,0.0
858,Support of CCMP actions,Attached letter to FWC/FWRI indicates actions FWRI is taking to implement CCMP goals.,FWC/FWRI,Not Listed,27.79,-82.442,All Segments,Other,Completed,0.0,0.0,0.0,0.0,,,,0.0
