projectid,project_name,project_description,entity_name,entity_current_nt_allocation,latitude,longitude,bay_segment,project_type,project_status,initiation_year,estimated_completion_year,discontinued_year,completion_year,project_costs,nps_load_reduction,ps_load_reduction,total_load_reduction
8,Delany Creek Wetland Restoration Project,"Delaney Creek receives runoff from a watershed of approximately 16 square miles that  flows directly into Upper 
Hillsborough Bay. Reduction rate supplied by partner.",Hillsborough County, 250-500 K,27.9236248332,-82.385794579,Hillsborough Bay,Hybrid,Completed,1996.0,1997.0,0.0,1997.0,,84567.0,,84567.0
10,Cone Ranch Restoration Project,The project will attempt to restore hydroperiod to 400 acres of ditched and drained wetlands.  Five ponds were created in the project area. 2003 update: Seven ponds (not five as previously described).,Hillsborough County, 100-500 K,28.1218130923,-82.1225121652,Hillsborough Bay,Hybrid,Completed,1999.0,1999.0,0.0,1999.0,,0.0,,0.0
11,29th or 30th Street Outfall/ Mckay Bay,"One element has been designed to date â€“ a baffle box for a 19 acre site near the outfall â€“ and a second, could potentially  treat the first Â¾â€ of its 190 acre contributing basin.  RP 3/26/08 - Complete 1998.",City of Tampa,Not Listed,28.019236,-82.21548,Hillsborough Bay,Non-Point Source,Completed,1997.0,1998.0,0.0,1998.0,,0.0,,0.0
14,Palma Ceia Area Stormwater Pond,Project complete.  The contributing area will probably be in the 70-75 acre range. Year 2000 Update: Construction to begin in FY2000.,City of Tampa,   1M-3M,28.019236,-82.21548,Hillsborough Bay,Non-Point Source,Completed,2000.0,2001.0,0.0,2001.0,,0.0,,0.0
15,North Tampa Pond Enlargements,These two ponds currently drain to sinkholes. The stormwater attenuation/ treatment ponds planned for the sink area will have minimal nitrogen reduction impacts on the bay. Area treated = needed; Treatment area = 2 acres.,City of Tampa,500K-1M,28.019236,-82.21548,Hillsborough Bay,Non-Point Source,Completed,2001.0,2002.0,0.0,2002.0,,199.2,,199.2
16,Florida Yards & Neighborhoods/Water Resources Public Education,Ongoing public education programs to reduce water usage/pollution.,City of Tampa,Not Listed,28.019236,-82.21548,Hillsborough Bay,Other,Completed,1993.0,0.0,0.0,0.0,,,,0.0
17,Tampa Water Resource Recovery Project(s),This is no longer a project.,City of Tampa,Not Listed,28.019236,-82.21548,Hillsborough Bay,Other,Completed,0.0,0.0,2003.0,0.0,,,,0.0
19,East Lake (Alum) Stormwater Retrofit Project,The objective of the project is the implementation of an alum injection stormwater treatment system to treat stormwater runoff entering East Lake.  Reduction efficiency supplied by SWFWMD.  May come on line in 2006.,SWFWMD,500K-1M,27.988065,-82.373728,Hillsborough Bay,Hybrid,Completed,1998.0,2000.0,0.0,2000.0,,10488.0,,10488.0
20,Lowry Park West Stormwater Retrofit Project,Construction of a 2 acre stormwater treatment pond to provide limited treatment of runoff from a 100 acre basin.  Year 2000 Update: Project complete.  Monitoring is ongoing.,City of Tampa, 250-500 K,28.013639,-82.467792,Hillsborough Bay,Hybrid,Completed,1997.0,1998.0,0.0,1998.0,,0.0,,0.0
20,Lowry Park West Stormwater Retrofit Project,Construction of a 2 acre stormwater treatment pond to provide limited treatment of runoff from a 100 acre basin.  Year 2000 Update: Project complete.  Monitoring is ongoing.,City of Tampa, 250-500 K,28.013639,-82.467792,Hillsborough Bay,Hybrid,Completed,1997.0,1998.0,0.0,1998.0,,2.49,,2.49
21,Lake Thonotosassa Marsh Restoration Project,Project was designed to address three major problems in the lake; reduce the concentration of phosphorous and nitrogen; reduce the sediment load to the lake by including a sedimentation basin.,SWFWMD,   1M-3M,28.0512845912,-82.2668817392,Hillsborough Bay,Hybrid,Completed,1997.0,1999.0,0.0,1999.0,,0.0,,0.0
22,Florida Yards And Neighborhood Program,Public awareness programs raise water conservation awareness and implement pollution reduction initiatives. 2003 update: added to desc file.,Hillsborough County,Not Listed,28.019236,-82.21548,Hillsborough Bay,Hybrid,Ongoing,0.0,0.0,0.0,0.0,,,,0.0
23,Pollution Prevention Programs,"Supplements include Adopt-A-Pond, 
stormdrain stenciling, and public awareness 
programs.  Reduction supplied by Hills. Co. 
4687 drains marked through 2016",Hillsborough County,Not Listed,28.019236,-82.21548,Hillsborough Bay,Hybrid,Completed,0.0,0.0,0.0,0.0,,0.0,,0.0
25,Flood Management Program,The objective of this program is to ensure that flood control projects consider water-quality impacts and to show how flood management projects in Hillsborough County can be designed to protect or enhance water quality. Estimated reduction=needed.,Hillsborough County,Not Listed,28.019236,-82.21548,Hillsborough Bay,Non-Point Source,Completed,0.0,2002.0,0.0,2002.0,,4000.0,,4000.0
26,Pistol Range Stormwater Retrofit Project,Diversion of flow from approximately 620 acres through a reconfigured borrow pit system to provide treatment prior to discharge back into Pemberton Creek. Area treated=620 acres; treatment area=needed,SWFWMD,500K-1M,28.039363,-82.13978,Hillsborough Bay,Hybrid,Completed,1998.0,2000.0,0.0,2000.0,,0.0,,0.0
26,Pistol Range Stormwater Retrofit Project,Diversion of flow from approximately 620 acres through a reconfigured borrow pit system to provide treatment prior to discharge back into Pemberton Creek. Area treated=620 acres; treatment area=needed,SWFWMD,500K-1M,28.039363,-82.13978,Hillsborough Bay,Hybrid,Completed,1998.0,2000.0,0.0,2000.0,,0.0,,0.0
26,Pistol Range Stormwater Retrofit Project,Diversion of flow from approximately 620 acres through a reconfigured borrow pit system to provide treatment prior to discharge back into Pemberton Creek. Area treated=620 acres; treatment area=needed,SWFWMD,500K-1M,28.039363,-82.13978,Hillsborough Bay,Hybrid,Completed,1998.0,2000.0,0.0,2000.0,,0.0,,0.0
26,Pistol Range Stormwater Retrofit Project,Diversion of flow from approximately 620 acres through a reconfigured borrow pit system to provide treatment prior to discharge back into Pemberton Creek. Area treated=620 acres; treatment area=needed,SWFWMD,500K-1M,28.039363,-82.13978,Hillsborough Bay,Hybrid,Completed,1998.0,2000.0,0.0,2000.0,,7011.0,,7011.0
27,Alafia River Corridor Land Acquisition,"Alafia River Cooridor Land Acquisition.  Year 2000 Update: None, the acquisition is complete.",SWFWMD,Not Listed,27.826852,-82.132505,Hillsborough Bay,Hybrid,Completed,0.0,1995.0,0.0,1995.0,,504.0,,504.0
28,Eastern Associated Terminals Stormwater Improvements,"Enclose outside conveyor belts, construct 
berm and swale. Efficiency rating (Partnership 
for Progress page HB.12). Area 
treated=needed",Eastern Terminals, 100-500 K,27.918834,-82.41985,Hillsborough Bay,Hybrid,Completed,0.0,1996.0,0.0,1996.0,,4380.0,,4380.0
29,Reduction/Increases in Bulk Loading Rates (Florida Phosphate Council Members,Discontinued since each fertilizer company submits their own projects. (per Bruce DeGrove 11/02),Florida Phosphate Council,Not Listed,28.019236,-82.21548,Hillsborough Bay,Other,Completed,0.0,0.0,2002.0,0.0,,,,0.0
30,Cargill Fertilizer Stormwater Ponds,Construct and upgrade stormwater ponds feeding NPDES outfalls 021 and 022 to improve recirculation and nutrient uptake by appropriate species.  Reduction is from onsite stormwater runoff prior to discharge. Area treated=5.5 acres; treatment area=needed.,Mosaic, 100-500 K,27.863575,-82.385047,Hillsborough Bay,Hybrid,Completed,1991.0,1998.0,0.0,1998.0,,0.0,,0.0
31,Cargill Fertilizer Dedicated Sump By Production Lab,Laboratory sump to return rinsate to the process. Partnership for Progress Page - HB14. Area treated=needed; reduction efficiency supplied by Cargill.,Mosaic,   < 5 K,27.863575,-82.385047,Hillsborough Bay,Hybrid,Completed,1996.0,1996.0,0.0,1996.0,,60.0,,60.0
32,Cargill Fertilizer Dedicated Sump At Product Loading Dock,Dock sump to return dock area (approx. 2 acres) runoff to the production process to recover nutrient (approx. 80 mg/l total N). Partnership for Progress Page-HB14. Area treated=2 acres; reduction efficiency supplied by Cargill.,Mosaic,   5-25 K,27.863575,-82.385047,Hillsborough Bay,Hybrid,Completed,1996.0,1996.0,0.0,1996.0,,1600.0,,1600.0
33,Cargill Fertilizer Outfall Structural And Procedural Improvements,"Page HB14. Structural improvements to ditch, increased water reuse, flow reduction, training provided to employees regarding our NPDES permit, Best Management Practices. Area treated=needed; reduction efficiency supplied by Cargill",Mosaic,500K-1M,27.863575,-82.385047,Hillsborough Bay,Hybrid,Completed,1996.0,1997.0,0.0,1997.0,,1962.0,,1962.0
34,IMC-Agrico Company Termination Of Ammonia In Flot Plants-Alafia River,Area treated=needed. Reduction supplied by IMC.,Mosaic,Not Listed,27.662673,-82.215645,Middle Tampa Bay,Hybrid,Completed,0.0,0.0,0.0,1995.0,,21000.0,,21000.0
35,IMC-Agrico  Company Shiploading Terminals Stormwater And Spillage,Reductions were primarily accomplished through stormwater collection and treatment and also through spillage control. Area treated=22 acres; reduction efficiency supplied by IMC.,Mosaic,Not Listed,28.019236,-82.21548,Hillsborough Bay,Hybrid,Completed,0.0,1994.0,0.0,1994.0,,34340.0,,34340.0
36,CF Industries Product Conveyor System Upgrade,"Product Conveyor System Upgrade Project - Phase 1:  Installation of belt scrapers, product containment hoppers, and paving beneath conveyors; and implementation of administative controls (BMPs). Area treated=needed; reduction efficiency supplied by CF.",Mosaic, 100-500 K,27.927192,-82.435207,Hillsborough Bay,Hybrid,Completed,1990.0,1993.0,0.0,1993.0,,19600.0,,19600.0
37,CF Industries Improved Dust Suppressant Application On Fertilizer Products,Partnership for Progress Page HB18. Area treated=needed; reduction efficiency supplied by CF.,Mosaic,  50-100 K,27.927192,-82.435207,Hillsborough Bay,Hybrid,Completed,1994.0,1994.0,0.0,1994.0,,120.0,,120.0
38,CF Industries Product Conveyor System Enhancement - Phase 2,Product Conveyor System Enhancements - Phase 2: Includes installation of conveyor enclosure system between warehouse and gantry. Partnership for Progress Page HB18. Area treated=needed; reduction efficiency supplied by CF.,Mosaic,  25-50 K,27.927192,-82.435207,Hillsborough Bay,Hybrid,Completed,1997.0,1997.0,0.0,1997.0,,46.0,,46.0
39,CF Industries Stormwater Management System Project,"Consists of collection and routing of all site stormwater runoff and construction of a lift station, pumping systems, and hyacinth treatment pond to manage up to a 25-year, 24-hour storm event. Area treated=12 acres; treatment area=needed.",Mosaic, 100-500 K,27.927192,-82.435207,Hillsborough Bay,Hybrid,Completed,1996.0,1997.0,0.0,1997.0,,,,0.0
40,CSX Transportation Rockport Terminal Stormwater Management Improvements,"Efficiency citation: Partnership for Progress, Page HB.19.  Several BMPs implemented to reduce contact with product. Area treated=needed; reduction efficiency supplied by CSX.",CSX Transportation,Not Listed,27.916449,-82.417664,Hillsborough Bay,Hybrid,Completed,0.0,1997.0,0.0,1997.0,,74000.0,,74000.0
41,Land Limited BMPs For Dairy Farms In Areas Of Urbanization Within The Hillsborough R. Watershed,"Demonstration of On-site, In-Vessel Dairy Manure Digestion. Area treated=120 acres; reduction efficiency=needed.",FDEP,Not Listed,28.019236,-82.21548,Hillsborough Bay,Non-Point Source,Completed,1998.0,0.0,0.0,0.0,,0.0,,0.0
42,Land Limited BMPs For Dairy Farms In Areas Of Urbanization Within The Hillsborough R. Watershed2,Construction of a Vegetated Treatment System and Overland Flow System for Nutrient Removal at Maple Lane Dairy. Area treated=43 acres; reduction efficiency=needed.,FDEP,Not Listed,28.019236,-82.21548,Hillsborough Bay,Non-Point Source,Completed,0.0,0.0,0.0,0.0,,0.0,,0.0
43,Whole Farm Planning,"Farmers participating in the program will implement state-of-the-art BMPs and meet all statutory standards, in return for a more efficient and palatable regulatory climate.",FDEP,Not Listed,28.019236,-82.21548,Hillsborough Bay,Other,Completed,0.0,0.0,0.0,0.0,,,,0.0
44,Plant City Reuse Program,"Plant City has now rerouted the majority of its effluent to CF Industries for process water, with a permitted discharge to East Canal (ultimately Blackwater Creek) year round.",SWFWMD,Not Listed,28.017315,-82.125394,Hillsborough Bay,Hybrid,Completed,1997.0,0.0,0.0,0.0,,,3.8,3.8
45,Strawberry Crop Conversion To Micro-Irrigation,Area treated=5400 acres; reduction efficiency supplied; need lead entity -DEP or Manatee County?,Manatee County CES,Not Listed,28.019236,-82.21548,Hillsborough Bay,Non-Point Source,Completed,0.0,0.0,2006.0,0.0,,13230.0,,13230.0
46,Vegetable Crop Conversion To Micro-Irrigation,"There were approximately 9000 acres of vegetables grown in Hillsborough County, with approximately 40% (3600) utilizing drip irrigation.  This has resulted in  water savings over more conventional systems and a decrease in fertilizer applied. Lead entity?",Not Listed,Not Listed,28.019236,-82.21548,Hillsborough Bay,Non-Point Source,Completed,0.0,0.0,2006.0,0.0,,20268.0,,20268.0
47,Citrus Conversion To Microjet Irrigation,"Area treated=28,200 acres. Reduction efficiency supplied. Lead entity?",Not Listed,Not Listed,28.019236,-82.21548,Hillsborough Bay,Non-Point Source,Completed,0.0,0.0,2006.0,0.0,,31753.0,,31753.0
48,Del Oro Phase 1,Stormwater retrofit. Year 2000 Update: project complete.,City of Clearwater, 250-500 K,28.012172,-82.609611,Old Tampa Bay,Non-Point Source,Completed,1995.0,1996.0,0.0,1996.0,,2.49,,2.49
49,Cooper's Point Restoration,Habitat restoration on the shore of Old Tampa Bay.  Removal of exotic vegetation in an area scheduled for development as a passive park.,City of Clearwater, 250-500 K,27.9599340106,-82.7174759876,Old Tampa Bay,Non-Point Source,Completed,1996.0,2001.0,0.0,2001.0,,0.0,,0.0
50,Allen's Creek Rehabilitation At Lake View And Hercules (Red Maple Swamp),"Habitat floodplain restoration and stormwater treatment.
Year 2000 Update: This is not actually a new project. It was contained in the Pinellas County Action Plan, but omitted from this update. It was completed as planned in 1997/98. Treat.area=needed",Pinellas County,500K-1M,28.012172,-82.609611,Old Tampa Bay,Non-Point Source,Completed,1997.0,1998.0,0.0,1998.0,,14668.0,,14668.0
51,Stormwater Reinspection,Project on hold.,City of Clearwater,Not Listed,28.012172,-82.609611,Old Tampa Bay,Non-Point Source,Completed,0.0,0.0,2004.0,0.0,,0.0,,0.0
51,Stormwater Reinspection,Project on hold.,City of Clearwater,Not Listed,28.012172,-82.609611,Old Tampa Bay,Non-Point Source,Completed,0.0,0.0,2004.0,0.0,,0.0,,0.0
53,Improve Business And Homeowner Opportunities For Hazardous Waste Disposal,Clearwater is coordinating with Pinellas County in conducting Amnesty Days. 2003 update -no changes,City of Clearwater,  25-50 K,28.012172,-82.609611,Old Tampa Bay,Other,Completed,1998.0,1999.0,0.0,1999.0,,,,0.0
55,Lower Sweetwater Creek Stormwater Retrofits,"vegetation enhancement in ditch and CDS unit 
at Bray Rd.",Hillsborough County,Not Listed,28.012172,-82.609611,Old Tampa Bay,Hybrid,Completed,2005.0,2012.0,0.0,2012.0,,0.025,,0.025
56,Brushy Creek Wetland Enhancement Project,"Enhanced wetland system adjacent and parallel to Brushy Creek to provide improved water quality and wildlife habitat.  The project, consisting of two constructed wetlands, is located north and south of Ehrlich Road.",Hillsborough County,500K-1M,28.012172,-82.609611,Old Tampa Bay,Hybrid,Completed,1992.0,1993.0,0.0,1993.0,,2.353,,2.353
57,"Alligator Creek Channel ""H"" Stormwater Treatment Pond","Stormwater runoff diverted from Channel ""H"" through a wet detention pond for treatment. Project included extensive wetland plantings to provide improved treatment via biological uptake. Year 2000 Update: Completed as indicated.",Pinellas County,   3M-5M,28.012172,-82.609611,Old Tampa Bay,Non-Point Source,Completed,1994.0,1995.0,0.0,1995.0,,0.0,,0.0
57,"Alligator Creek Channel ""H"" Stormwater Treatment Pond","Stormwater runoff diverted from Channel ""H"" through a wet detention pond for treatment. Project included extensive wetland plantings to provide improved treatment via biological uptake. Year 2000 Update: Completed as indicated.",Pinellas County,   3M-5M,28.012172,-82.609611,Old Tampa Bay,Non-Point Source,Completed,1994.0,1995.0,0.0,1995.0,,0.0,,0.0
57,"Alligator Creek Channel ""H"" Stormwater Treatment Pond","Stormwater runoff diverted from Channel ""H"" through a wet detention pond for treatment. Project included extensive wetland plantings to provide improved treatment via biological uptake. Year 2000 Update: Completed as indicated.",Pinellas County,   3M-5M,28.012172,-82.609611,Old Tampa Bay,Non-Point Source,Completed,1994.0,1995.0,0.0,1995.0,,2663.0,,2663.0
58,Al Lopez Park Pond Enhancement,Enhanced existing southern pond of the two pond system at Horizon Park to provide improved water quality performance and wetland habitat. Demonstration project.  Year 2000 Update; Ongoing maintenance of the pond by parks dept. Treatment area=needed,City of Tampa,Not Listed,28.012172,-82.609611,Old Tampa Bay,Non-Point Source,Completed,1993.0,1994.0,0.0,1994.0,,877.0,,877.0
59,"Lois And Henry Avenues Retention Pond (Drew Park Drainage And Improvements, Phase 1)",Constructed stormwater drainage.  Year 2000 Update: Project completed. Treatment area=needed,City of Tampa, 250-500 K,28.012172,-82.609611,Old Tampa Bay,Non-Point Source,Completed,1996.0,1997.0,0.0,1997.0,,0.0,,0.0
60,Clearwater Mall Retrofit Project,Year 2000 Update: Delete - project determined to be not feasible.,City of Clearwater,Not Listed,28.012172,-82.609611,Old Tampa Bay,Non-Point Source,Completed,0.0,0.0,1998.0,0.0,,0.0,,0.0
61,Safety Harbor Stormwater Retrofit Project,"Reconstruction of on-line borrow pit in Mullet Creek. Year 2000 Update: Delete this from Pinellas County's projects, it belongs to the City of Safety Harbor. Treatment area=needed.",City of Safety Harbor,  25-50 K,28.012172,-82.609611,Old Tampa Bay,Hybrid,Completed,1994.0,1994.0,0.0,1995.0,,0.0,,0.0
61,Safety Harbor Stormwater Retrofit Project,"Reconstruction of on-line borrow pit in Mullet Creek. Year 2000 Update: Delete this from Pinellas County's projects, it belongs to the City of Safety Harbor. Treatment area=needed.",City of Safety Harbor,  25-50 K,28.012172,-82.609611,Old Tampa Bay,Hybrid,Completed,1994.0,1994.0,0.0,1995.0,,5397.0,,5397.0
62,Roosevelt Creek Stormwater - Phase I,Stormwater pond creation; pond 26 acres. Year 2000 Update: Partially completed. Estimate final completion by 2002. Area treated=147 acres; treatment area=26 acres.,Pinellas County,Not Listed,28.012172,-82.609611,Old Tampa Bay,Non-Point Source,Completed,2001.0,2002.0,0.0,2002.0,,39.546,,39.546
62,Roosevelt Creek Stormwater - Phase I,Stormwater pond creation; pond 26 acres. Year 2000 Update: Partially completed. Estimate final completion by 2002. Area treated=147 acres; treatment area=26 acres.,Pinellas County,Not Listed,28.012172,-82.609611,Old Tampa Bay,Non-Point Source,Completed,2001.0,2002.0,0.0,2002.0,,19.266,,19.266
64,Septic To Sewer Conversions In Largo,The City of Largo brought on line 120 properties to their sanitary sewer service that were previously on septic tank systems. Reduction efficiency supplied by Pin. Cty.    NOT PINELLAS COUNTY,City of Largo,   1M-3M,28.012172,-82.609611,Old Tampa Bay,Non-Point Source,Completed,1995.0,1997.0,0.0,1997.0,,3000.0,,3000.0
65,Alligator Creek Pond at Logan Street,Pond creation; pond area 8 acres. Year 2000 Updates:  Change title to indicate that it is Alligator Creek Pond at Logan Street. Pond had to be redesigned after completion of Alligator Creek Watershed Plan. Anticipated completion date is 2002.,Pinellas County,Not Listed,28.012172,-82.609611,Old Tampa Bay,Non-Point Source,Completed,1998.0,2002.0,0.0,2002.0,,17.496,,17.496
65,Alligator Creek Pond at Logan Street,Pond creation; pond area 8 acres. Year 2000 Updates:  Change title to indicate that it is Alligator Creek Pond at Logan Street. Pond had to be redesigned after completion of Alligator Creek Watershed Plan. Anticipated completion date is 2002.,Pinellas County,Not Listed,28.012172,-82.609611,Old Tampa Bay,Non-Point Source,Completed,1998.0,2002.0,0.0,2002.0,,14.016,,14.016
65,Alligator Creek Pond at Logan Street,Pond creation; pond area 8 acres. Year 2000 Updates:  Change title to indicate that it is Alligator Creek Pond at Logan Street. Pond had to be redesigned after completion of Alligator Creek Watershed Plan. Anticipated completion date is 2002.,Pinellas County,Not Listed,28.012172,-82.609611,Old Tampa Bay,Non-Point Source,Completed,1998.0,2002.0,0.0,2002.0,,9.96,,9.96
66,Lake Tarpon Pond Creation (Basin 6),"Pond creation, alum treatment; pond size 2 acres with alum treatment and sediment traps. (Lake Tarpon Plan Task Report 3.2.5 by Coastal Environmental).",Pinellas County, 100-500 K,28.012172,-82.609611,Old Tampa Bay,Non-Point Source,Completed,2005.0,2007.0,0.0,0.0,,2.562,,2.562
66,Lake Tarpon Pond Creation (Basin 6),"Pond creation, alum treatment; pond size 2 acres with alum treatment and sediment traps. (Lake Tarpon Plan Task Report 3.2.5 by Coastal Environmental).",Pinellas County, 100-500 K,28.012172,-82.609611,Old Tampa Bay,Non-Point Source,Completed,2005.0,2007.0,0.0,0.0,,5.103,,5.103
66,Lake Tarpon Pond Creation (Basin 6),"Pond creation, alum treatment; pond size 2 acres with alum treatment and sediment traps. (Lake Tarpon Plan Task Report 3.2.5 by Coastal Environmental).",Pinellas County, 100-500 K,28.012172,-82.609611,Old Tampa Bay,Non-Point Source,Completed,2005.0,2007.0,0.0,0.0,,0.0,,0.0
66,Lake Tarpon Pond Creation (Basin 6),"Pond creation, alum treatment; pond size 2 acres with alum treatment and sediment traps. (Lake Tarpon Plan Task Report 3.2.5 by Coastal Environmental).",Pinellas County, 100-500 K,28.012172,-82.609611,Old Tampa Bay,Non-Point Source,Completed,2005.0,2007.0,0.0,0.0,,2.065,,2.065
66,Lake Tarpon Pond Creation (Basin 6),"Pond creation, alum treatment; pond size 2 acres with alum treatment and sediment traps. (Lake Tarpon Plan Task Report 3.2.5 by Coastal Environmental).",Pinellas County, 100-500 K,28.012172,-82.609611,Old Tampa Bay,Non-Point Source,Completed,2005.0,2007.0,0.0,0.0,,2.905,,2.905
67,Bayside Bridge Pond Rehabilitation,Redesign and rehabilitation of the 1.9 acre treatment pond at the north end of the Bayside Bridge to provide treatment. Year 2000 Update: Change anticipated completion date to 2001.,Pinellas County, 100-250 K,28.012172,-82.609611,Old Tampa Bay,Non-Point Source,Completed,2004.0,2004.0,0.0,2004.0,,1.77,,1.77
68,Pending Land Acquisitions,Update information pending calculation of loads from lands actually purchased within this time period.,Pinellas County,   >10M,28.012172,-82.609611,Old Tampa Bay,Other,Completed,2001.0,2010.0,0.0,0.0,,,,0.0
69,FY & N Florida Schoolyard Program,Public and private schools are notified annually of the School Garden Grant Program to create a Florida-friendly teaching garden.,Pinellas County,Not Listed,28.012172,-82.609611,Old Tampa Bay,Other,Completed,0.0,0.0,0.0,0.0,,,,0.0
70,Florida Yards & Neighborhoods Program,A grant-funded citizen education and action program that teaches residents how to create a Florida-friendly yard that enhances the natural environment.,Pinellas County,Not Listed,28.012172,-82.609611,Old Tampa Bay,Other,Completed,2001.0,2002.0,0.0,0.0,,,,0.0
71,FY & N Concepts For County Buildings And Lands,Year 2000 Update: Update information pending. Insert document SW103ID71,Pinellas County,Not Listed,27.826351,-82.752508,Boca Ciega Bay,Other,Completed,0.0,0.0,0.0,0.0,,,,0.0
72,Long Branch Creek Pond Creation,Stormwater pond creation; pond area 35 acres. Year 2000 Update: No change in current plans.,Pinellas County, 250-500 K,28.012172,-82.609611,Old Tampa Bay,Non-Point Source,Completed,0.0,0.0,2006.0,0.0,,76.545,,76.545
72,Long Branch Creek Pond Creation,Stormwater pond creation; pond area 35 acres. Year 2000 Update: No change in current plans.,Pinellas County, 250-500 K,28.012172,-82.609611,Old Tampa Bay,Non-Point Source,Completed,0.0,0.0,2006.0,0.0,,43.575,,43.575
73,Lake Tarpon Pond Creation/Rehabilitation (Basin 23),"No land available to create a full pond, but may be possible to rehabilitate area for some treatment.  Either alum treatment or natural treatment in wetland.",Pinellas County,Not Listed,28.012172,-82.609611,Old Tampa Bay,Hybrid,Discontinued,2007.0,2010.0,2010.0,0.0,,1.452,,1.452
74,Lake Tarpon Pond Creation (Basin 63),Pond creation (This is one of the highest loading areas to Lake Tarpon.  Uncertain as yet as to whether there is sufficient room for a full pond - may require alum treatment). Year 2000 Update: Currently planned for initiation in 2003; completion in 2006.,Pinellas County,Not Listed,28.012172,-82.609611,Old Tampa Bay,Hybrid,Discontinued,2007.0,2010.0,2010.0,0.0,,1.302,,1.302
74,Lake Tarpon Pond Creation (Basin 63),Pond creation (This is one of the highest loading areas to Lake Tarpon.  Uncertain as yet as to whether there is sufficient room for a full pond - may require alum treatment). Year 2000 Update: Currently planned for initiation in 2003; completion in 2006.,Pinellas County,Not Listed,28.012172,-82.609611,Old Tampa Bay,Hybrid,Discontinued,2007.0,2010.0,2010.0,0.0,,0.0,,0.0
77,Lake Maggiore Alum Injection,Residential stormwater runoff from 1449 acres will be treated using alum injection in golf course lakes prior to discharge to Lake Maggiore.   Treatment Efficiency citation: (ERD Report),City of St. Petersburg,   3M-5M,27.662673,-82.215645,Middle Tampa Bay,Hybrid,Completed,1995.0,1998.0,0.0,1998.0,,12424.0,,12424.0
78,Urban Retrofit Projects,"The City requires redevelopment to retrofit an average of 6 to 7 acres of urban land use per year, including stormwater treatment for all retrofit acres. Treatment efficiency: (ERD Report). Year 2000 Update: Administrative expenses estimated at $50,000/yr",City of St. Petersburg, 100-250 K,27.662673,-82.215645,Middle Tampa Bay,Non-Point Source,Completed,0.0,0.0,2006.0,0.0,,0.0,,0.0
78,Urban Retrofit Projects,"The City requires redevelopment to retrofit an average of 6 to 7 acres of urban land use per year, including stormwater treatment for all retrofit acres. Treatment efficiency: (ERD Report). Year 2000 Update: Administrative expenses estimated at $50,000/yr",City of St. Petersburg, 100-250 K,27.662673,-82.215645,Middle Tampa Bay,Non-Point Source,Completed,0.0,0.0,2006.0,0.0,,0.0,,0.0
80,Mirror Lake Stormwater Retrofit,The City has completed the installation and placed into operation a stormwater pretreatment system for runoff entering Mirror Lake that discharges into Tampa Bay. (ERD Report),City of St. Petersburg,Not Listed,27.662673,-82.215645,Middle Tampa Bay,Hybrid,Completed,1998.0,2000.0,0.0,2000.0,,3106.0,,3106.0
81,Pinellas Park Channel 2 Alum Stormwater Retrofit Project,Wet detention with filtration and alum.,City of Pinellas Park,Not Listed,27.662673,-82.215645,Middle Tampa Bay,Hybrid,Completed,0.0,0.0,0.0,1998.0,,1088.0,,1088.0
82,Haynsworth Tract Regional Stormwater Treatment Facility,"Regional stormwater treatment facility providing treatment based on current regulatory design criteria for 424 acres of pre-1982 development. Year 2000 Update: Earthwork and planting complete in 1999, monitoring ongoing. Treatment area=needed.",SWFWMD,   1M-3M,27.662673,-82.215645,Middle Tampa Bay,Non-Point Source,Completed,1997.0,1998.0,0.0,1998.0,,0.0,,0.0
82,Haynsworth Tract Regional Stormwater Treatment Facility,"Regional stormwater treatment facility providing treatment based on current regulatory design criteria for 424 acres of pre-1982 development. Year 2000 Update: Earthwork and planting complete in 1999, monitoring ongoing. Treatment area=needed.",SWFWMD,   1M-3M,27.662673,-82.215645,Middle Tampa Bay,Non-Point Source,Completed,1997.0,1998.0,0.0,1998.0,,0.0,,0.0
82,Haynsworth Tract Regional Stormwater Treatment Facility,"Regional stormwater treatment facility providing treatment based on current regulatory design criteria for 424 acres of pre-1982 development. Year 2000 Update: Earthwork and planting complete in 1999, monitoring ongoing. Treatment area=needed.",SWFWMD,   1M-3M,27.662673,-82.215645,Middle Tampa Bay,Non-Point Source,Completed,1997.0,1998.0,0.0,1998.0,,3875.0,,3875.0
84,Cockroach Bay Regional Stormwater Treatment Facility,Construct regional stormwater pond receiving runoff from 251 acre agricultural drainage area. Treatment area=needed.,SWFWMD,Not Listed,27.662673,-82.215645,Middle Tampa Bay,Non-Point Source,Completed,1991.0,1997.0,0.0,1997.0,,2927.0,,2927.0
84,Cockroach Bay Regional Stormwater Treatment Facility,Construct regional stormwater pond receiving runoff from 251 acre agricultural drainage area. Treatment area=needed.,SWFWMD,Not Listed,27.662673,-82.215645,Middle Tampa Bay,Non-Point Source,Completed,1991.0,1997.0,0.0,1997.0,,0.0,,0.0
85,Little Manatee River Land Acquisition Project,Year 2000 Update: None.  Complete since 1995.,SWFWMD,   1M-3M,27.662673,-82.215645,Middle Tampa Bay,Other,Completed,0.0,1995.0,0.0,1995.0,,,,0.0
86,Sawgrass Lake Pond (Haynesworth Tract),Pond creation; pond size = 22 acres. Year 2000 Update: Project complete.,Pinellas County,Not Listed,27.662673,-82.215645,Middle Tampa Bay,Non-Point Source,Completed,1998.0,1999.0,0.0,1999.0,,0.0,,0.0
